 Local Health Districts, year, Sex, State comparison, Average number per year," Rate per 100,000 population", LL 95% CI, UL 95% CI
 South Eastern Sydney LHD, 2005-2006, Females, Rest of NSW,744.9,19.1,18.1,20.1
 South Eastern Sydney LHD, 2005-2006, Females, Total NSW,840.4,18.6,17.7,19.6
 South Eastern Sydney LHD, 2005-2006, Persons, South Eastern Sydney LHD,182.4,20.4,18.3,22.6
 South Eastern Sydney LHD, 2005-2006, Persons, Rest of NSW,1504.5,23.4,22.6,24.3
 South Eastern Sydney LHD, 2005-2006, Persons, Total NSW,1686.8,23,22.2,23.8
 South Eastern Sydney LHD, 2006-2007, Males, South Eastern Sydney LHD,92.1,23.6,20.3,27.3
 South Eastern Sydney LHD, 2006-2007, Males, Rest of NSW,762.4,26.3,25,27.6
 South Eastern Sydney LHD, 2006-2007, Males, Total NSW,854.5,26.1,24.9,27.4
 South Eastern Sydney LHD, 2006-2007, Females, South Eastern Sydney LHD,90.6,16.2,13.8,18.9
 South Eastern Sydney LHD, 2006-2007, Females, Rest of NSW,749.4,18.7,17.7,19.7
 South Eastern Sydney LHD, 2006-2007, Females, Total NSW,840,18.2,17.3,19.1
 South Eastern Sydney LHD, 2006-2007, Persons, South Eastern Sydney LHD,182.7,20.1,18.1,22.3
 South Eastern Sydney LHD, 2006-2007, Persons, Rest of NSW,1511.8,22.9,22.1,23.7
 South Eastern Sydney LHD, 2006-2007, Persons, Total NSW,1694.5,22.5,21.8,23.3
 South Eastern Sydney LHD, 2007-2008, Males, South Eastern Sydney LHD,88.8,22.2,19,25.7
 South Eastern Sydney LHD, 2007-2008, Males, Rest of NSW,748.7,25.1,23.8,26.4
 South Eastern Sydney LHD, 2007-2008, Males, Total NSW,837.5,24.9,23.7,26.2
 South Eastern Sydney LHD, 2007-2008, Females, South Eastern Sydney LHD,89.5,15.5,13.2,18.1
 South Eastern Sydney LHD, 2007-2008, Females, Rest of NSW,751.2,18.1,17.2,19.1
 South Eastern Sydney LHD, 2007-2008, Females, Total NSW,840.7,17.6,16.7,18.5
 South Eastern Sydney LHD, 2007-2008, Persons, South Eastern Sydney LHD,178.3,19.1,17.1,21.2
 South Eastern Sydney LHD, 2007-2008, Persons, Rest of NSW,1500,22,21.2,22.8
 South Eastern Sydney LHD, 2007-2008, Persons, Total NSW,1678.2,21.7,20.9,22.4
 South Eastern Sydney LHD, 2008-2009, Males, South Eastern Sydney LHD,86.3,21.1,18.1,24.5
 South Eastern Sydney LHD, 2008-2009, Males, Rest of NSW,767.1,25,23.8,26.3
 South Eastern Sydney LHD, 2008-2009, Males, Total NSW,853.4,24.8,23.6,26
 South Eastern Sydney LHD, 2008-2009, Females, South Eastern Sydney LHD,86.2,14.5,12.3,16.9
 South Eastern Sydney LHD, 2008-2009, Females, Rest of NSW,744.6,17.5,16.6,18.4
 South Eastern Sydney LHD, 2008-2009, Females, Total NSW,830.8,17,16.1,17.8
 South Eastern Sydney LHD, 2008-2009, Persons, South Eastern Sydney LHD,172.5,18.1,16.2,20.1
 South Eastern Sydney LHD, 2008-2009, Persons, Rest of NSW,1511.6,21.6,20.9,22.4
 South Eastern Sydney LHD, 2008-2009, Persons, Total NSW,1684.2,21.2,20.5,21.9
 South Eastern Sydney LHD, 2009-2010, Males, South Eastern Sydney LHD,84.9,20.1,17.2,23.4
 South Eastern Sydney LHD, 2009-2010, Males, Rest of NSW,791.2,25,23.8,26.3
 South Eastern Sydney LHD, 2009-2010, Males, Total NSW,876,24.7,23.5,25.9
 South Eastern Sydney LHD, 2009-2010, Females, South Eastern Sydney LHD,80.9,13.4,11.3,15.7
 South Eastern Sydney LHD, 2009-2010, Females, Rest of NSW,738.5,16.9,16,17.8
 South Eastern Sydney LHD, 2009-2010, Females, Total NSW,819.4,16.3,15.5,17.2
 South Eastern Sydney LHD, 2009-2010, Persons, South Eastern Sydney LHD,165.8,17,15.2,18.9
 South Eastern Sydney LHD, 2009-2010, Persons, Rest of NSW,1529.7,21.3,20.6,22.1
 South Eastern Sydney LHD, 2009-2010, Persons, Total NSW,1695.4,20.8,20.1,21.5
 South Eastern Sydney LHD, 2010-2011, Males, South Eastern Sydney LHD,84.6,19.7,16.9,23
 South Eastern Sydney LHD, 2010-2011, Males, Rest of NSW,799.4,24.6,23.4,25.8
 South Eastern Sydney LHD, 2010-2011, Males, Total NSW,884,24.2,23,25.3
 South Eastern Sydney LHD, 2010-2011, Females, South Eastern Sydney LHD,82.3,13.3,11.2,15.6
 South Eastern Sydney LHD, 2010-2011, Females, Rest of NSW,742.3,16.5,15.7,17.4
 South Eastern Sydney LHD, 2010-2011, Females, Total NSW,824.6,16,15.2,16.8
 South Eastern Sydney LHD, 2010-2011, Persons, South Eastern Sydney LHD,166.9,16.7,14.9,18.6
 South Eastern Sydney LHD, 2010-2011, Persons, Rest of NSW,1541.7,20.9,20.1,21.6
 South Eastern Sydney LHD, 2010-2011, Persons, Total NSW,1708.6,20.4,19.7,21.1
 South Eastern Sydney LHD, 2011-2012, Males, South Eastern Sydney LHD,82.8,19,16.2,22.2
 South Eastern Sydney LHD, 2011-2012, Males, Rest of NSW,807.7,24.3,23.1,25.5
 South Eastern Sydney LHD, 2011-2012, Males, Total NSW,890.6,23.8,22.7,24.9
 South Eastern Sydney LHD, 2011-2012, Females, South Eastern Sydney LHD,81.1,12.7,10.8,15
 South Eastern Sydney LHD, 2011-2012, Females, Rest of NSW,742.2,16.2,15.4,17.1
 South Eastern Sydney LHD, 2011-2012, Females, Total NSW,823.3,15.6,14.8,16.4
 South Eastern Sydney LHD, 2011-2012, Persons, South Eastern Sydney LHD,163.9,16,14.3,17.9
 South Eastern Sydney LHD, 2011-2012, Persons, Rest of NSW,1549.9,20.5,19.8,21.3
 South Eastern Sydney LHD, 2011-2012, Persons, Total NSW,1713.9,20,19.3,20.6
 South Eastern Sydney LHD, 2012-2013, Males, South Eastern Sydney LHD,83.2,18.7,16,21.8
 South Eastern Sydney LHD, 2012-2013, Males, Rest of NSW,823.7,24.2,23,25.4
 South Eastern Sydney LHD, 2012-2013, Males, Total NSW,906.9,23.7,22.6,24.8
 South Eastern Sydney LHD, 2012-2013, Females, South Eastern Sydney LHD,78,12.1,10.2,14.3
 South Eastern Sydney LHD, 2012-2013, Females, Rest of NSW,717.6,15.4,14.5,16.2
 South Eastern Sydney LHD, 2012-2013, Females, Total NSW,795.5,14.8,14,15.5
 South Eastern Sydney LHD, 2012-2013, Persons, South Eastern Sydney LHD,161.2,15.5,13.8,17.3
 South Eastern Sydney LHD, 2012-2013, Persons, Rest of NSW,1541.2,20,19.3,20.7
 South Eastern Sydney LHD, 2012-2013, Persons, Total NSW,1702.4,19.4,18.7,20.1
 South Eastern Sydney LHD, 2013-2014, Males, South Eastern Sydney LHD,90.5,20,17.2,23.2
 South Eastern Sydney LHD, 2013-2014, Males, Rest of NSW,856.3,24.5,23.4,25.7
 South Eastern Sydney LHD, 2013-2014, Males, Total NSW,946.8,24.1,23,25.2
 South Eastern Sydney LHD, 2013-2014, Females, South Eastern Sydney LHD,80.7,12.4,10.5,14.6
 South Eastern Sydney LHD, 2013-2014, Females, Rest of NSW,716.4,15,14.2,15.8
 South Eastern Sydney LHD, 2013-2014, Females, Total NSW,797.1,14.4,13.7,15.2
 South Eastern Sydney LHD, 2013-2014, Persons, South Eastern Sydney LHD,171.2,16.3,14.6,18.2
 South Eastern Sydney LHD, 2013-2014, Persons, Rest of NSW,1572.6,19.9,19.2,20.6
 South Eastern Sydney LHD, 2013-2014, Persons, Total NSW,1743.9,19.4,18.8,20.1
 South Eastern Sydney LHD, 2014-2015, Males, South Eastern Sydney LHD,92.5,20,17.2,23.1
 South Eastern Sydney LHD, 2014-2015, Males, Rest of NSW,887.5,24.9,23.7,26.1
 South Eastern Sydney LHD, 2014-2015, Males, Total NSW,980,24.4,23.3,25.5
 South Eastern Sydney LHD, 2014-2015, Females, South Eastern Sydney LHD,83.6,12.7,10.8,14.9
 South Eastern Sydney LHD, 2014-2015, Females, Rest of NSW,725.9,14.9,14.1,15.7
 South Eastern Sydney LHD, 2014-2015, Females, Total NSW,809.5,14.3,13.6,15.1
 South Eastern Sydney LHD, 2014-2015, Persons, South Eastern Sydney LHD,176.1,16.5,14.7,18.3
 South Eastern Sydney LHD, 2014-2015, Persons, Rest of NSW,1613.4,20,19.3,20.7
 South Eastern Sydney LHD, 2014-2015, Persons, Total NSW,1789.5,19.5,18.9,20.2
 South Eastern Sydney LHD, 2015-2016, Males, South Eastern Sydney LHD,92.6,19.5,16.8,22.6
 South Eastern Sydney LHD, 2015-2016, Males, Rest of NSW,902.1,24.7,23.5,25.9
 South Eastern Sydney LHD, 2015-2016, Males, Total NSW,994.7,24.2,23.1,25.3
 South Eastern Sydney LHD, 2015-2016, Females, South Eastern Sydney LHD,81.4,12.3,10.4,14.5
 South Eastern Sydney LHD, 2015-2016, Females, Rest of NSW,717.3,14.5,13.8,15.3
 South Eastern Sydney LHD, 2015-2016, Females, Total NSW,798.7,14,13.2,14.7
 South Eastern Sydney LHD, 2015-2016, Persons, South Eastern Sydney LHD,174,16,14.3,17.8
 South Eastern Sydney LHD, 2015-2016, Persons, Rest of NSW,1619.4,19.7,19,20.4
 South Eastern Sydney LHD, 2015-2016, Persons, Total NSW,1793.4,19.1,18.5,19.8
 Illawarra Shoalhaven LHD, 2001-2002, Males, Illawarra Shoalhaven LHD,56.2,32.2,26.4,38.9
 Illawarra Shoalhaven LHD, 2001-2002, Males, Rest of NSW,871.4,30.8,29.3,32.3
 Illawarra Shoalhaven LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 Illawarra Shoalhaven LHD, 2001-2002, Females, Illawarra Shoalhaven LHD,49.9,22.1,18,27
 Illawarra Shoalhaven LHD, 2001-2002, Females, Rest of NSW,838.2,21.7,20.7,22.8
 Illawarra Shoalhaven LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 Illawarra Shoalhaven LHD, 2001-2002, Persons, Illawarra Shoalhaven LHD,106.1,27.9,24.3,32
 Illawarra Shoalhaven LHD, 2001-2002, Persons, Rest of NSW,1709.6,26.8,25.9,27.7
 Illawarra Shoalhaven LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 Illawarra Shoalhaven LHD, 2002-2003, Males, Illawarra Shoalhaven LHD,54.1,30.4,24.8,36.8
 Illawarra Shoalhaven LHD, 2002-2003, Males, Rest of NSW,852.9,29.7,28.3,31.1
 Illawarra Shoalhaven LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 Illawarra Shoalhaven LHD, 2002-2003, Females, Illawarra Shoalhaven LHD,52.5,22.7,18.5,27.5
 Illawarra Shoalhaven LHD, 2002-2003, Females, Rest of NSW,856.8,21.7,20.7,22.8
 Illawarra Shoalhaven LHD, 2002-2003, Females, Total NSW,909.2,21.6,20.6,22.6
 Illawarra Shoalhaven LHD, 2002-2003, Persons, Illawarra Shoalhaven LHD,106.5,27.3,23.7,31.2
 Illawarra Shoalhaven LHD, 2002-2003, Persons, Rest of NSW,1709.6,26.2,25.4,27.1
 Illawarra Shoalhaven LHD, 2002-2003, Persons, Total NSW,1816.2,26.3,25.5,27.2
 Illawarra Shoalhaven LHD, 2003-2004, Males, Illawarra Shoalhaven LHD,50.4,27.5,22.3,33.5
 Illawarra Shoalhaven LHD, 2003-2004, Males, Rest of NSW,813.9,27.9,26.6,29.3
 Illawarra Shoalhaven LHD, 2003-2004, Males, Total NSW,864.3,28.1,26.7,29.4
 Illawarra Shoalhaven LHD, 2003-2004, Females, Illawarra Shoalhaven LHD,50.8,21.4,17.4,26
 Illawarra Shoalhaven LHD, 2003-2004, Females, Rest of NSW,843.8,20.9,19.9,22
 Illawarra Shoalhaven LHD, 2003-2004, Females, Total NSW,894.6,20.8,19.8,21.8
 Illawarra Shoalhaven LHD, 2003-2004, Persons, Illawarra Shoalhaven LHD,101.2,25.1,21.7,28.8
 Illawarra Shoalhaven LHD, 2003-2004, Persons, Rest of NSW,1657.7,25,24.2,25.9
 Illawarra Shoalhaven LHD, 2003-2004, Persons, Total NSW,1758.9,25,24.2,25.8
 Illawarra Shoalhaven LHD, 2004-2005, Males, Illawarra Shoalhaven LHD,49.2,26.3,21.3,32.2
 Illawarra Shoalhaven LHD, 2004-2005, Males, Rest of NSW,786.3,26.6,25.3,27.9
 Illawarra Shoalhaven LHD, 2004-2005, Males, Total NSW,835.4,26.7,25.4,28
 Illawarra Shoalhaven LHD, 2004-2005, Females, Illawarra Shoalhaven LHD,49.6,20.2,16.4,24.7
 Illawarra Shoalhaven LHD, 2004-2005, Females, Rest of NSW,810.5,19.7,18.7,20.7
 Illawarra Shoalhaven LHD, 2004-2005, Females, Total NSW,860.1,19.5,18.6,20.5
 Illawarra Shoalhaven LHD, 2004-2005, Persons, Illawarra Shoalhaven LHD,98.7,23.8,20.6,27.4
 Illawarra Shoalhaven LHD, 2004-2005, Persons, Rest of NSW,1596.8,23.6,22.8,24.5
 Illawarra Shoalhaven LHD, 2004-2005, Persons, Total NSW,1695.5,23.6,22.8,24.4
 Illawarra Shoalhaven LHD, 2005-2006, Males, Illawarra Shoalhaven LHD,50.2,26.6,21.6,32.4
 Illawarra Shoalhaven LHD, 2005-2006, Males, Rest of NSW,796.2,26.3,25,27.7
 Illawarra Shoalhaven LHD, 2005-2006, Males, Total NSW,846.4,26.5,25.2,27.8
 Illawarra Shoalhaven LHD, 2005-2006, Females, Illawarra Shoalhaven LHD,47.6,18.8,15.2,23.1
 Illawarra Shoalhaven LHD, 2005-2006, Females, Rest of NSW,792.8,18.9,17.9,19.8
 Illawarra Shoalhaven LHD, 2005-2006, Females, Total NSW,840.4,18.6,17.7,19.6
 Illawarra Shoalhaven LHD, 2005-2006, Persons, Illawarra Shoalhaven LHD,97.8,23.1,20,26.6
 Illawarra Shoalhaven LHD, 2005-2006, Persons, Rest of NSW,1589,23,22.2,23.8
 Illawarra Shoalhaven LHD, 2005-2006, Persons, Total NSW,1686.8,23,22.2,23.8
 Illawarra Shoalhaven LHD, 2006-2007, Males, Illawarra Shoalhaven LHD,56.8,29.4,24.2,35.5
 Illawarra Shoalhaven LHD, 2006-2007, Males, Rest of NSW,797.7,25.8,24.5,27.1
 Illawarra Shoalhaven LHD, 2006-2007, Males, Total NSW,854.5,26.1,24.9,27.4
 Illawarra Shoalhaven LHD, 2006-2007, Females, Illawarra Shoalhaven LHD,47.8,18.3,14.7,22.4
 Illawarra Shoalhaven LHD, 2006-2007, Females, Rest of NSW,792.2,18.4,17.5,19.3
 Illawarra Shoalhaven LHD, 2006-2007, Females, Total NSW,840,18.2,17.3,19.1
 Illawarra Shoalhaven LHD, 2006-2007, Persons, Illawarra Shoalhaven LHD,104.6,24.1,20.9,27.7
 Illawarra Shoalhaven LHD, 2006-2007, Persons, Rest of NSW,1589.9,22.5,21.7,23.2
 Illawarra Shoalhaven LHD, 2006-2007, Persons, Total NSW,1694.5,22.5,21.8,23.3
 Illawarra Shoalhaven LHD, 2007-2008, Males, Illawarra Shoalhaven LHD,58.6,29.5,24.3,35.4
 Illawarra Shoalhaven LHD, 2007-2008, Males, Rest of NSW,778.9,24.5,23.2,25.7
 Illawarra Shoalhaven LHD, 2007-2008, Males, Total NSW,837.5,24.9,23.7,26.2
 Illawarra Shoalhaven LHD, 2007-2008, Females, Illawarra Shoalhaven LHD,50.3,18.5,15,22.5
 Illawarra Shoalhaven LHD, 2007-2008, Females, Rest of NSW,790.4,17.8,16.9,18.7
 Illawarra Shoalhaven LHD, 2007-2008, Females, Total NSW,840.7,17.6,16.7,18.5
 Illawarra Shoalhaven LHD, 2007-2008, Persons, Illawarra Shoalhaven LHD,108.9,24.4,21.2,27.9
 Illawarra Shoalhaven LHD, 2007-2008, Persons, Rest of NSW,1569.3,21.5,20.7,22.3
 Illawarra Shoalhaven LHD, 2007-2008, Persons, Total NSW,1678.2,21.7,20.9,22.4
 Illawarra Shoalhaven LHD, 2008-2009, Males, Illawarra Shoalhaven LHD,55.6,27,22.1,32.6
 Illawarra Shoalhaven LHD, 2008-2009, Males, Rest of NSW,797.8,24.4,23.2,25.6
 Illawarra Shoalhaven LHD, 2008-2009, Males, Total NSW,853.4,24.8,23.6,26
 Illawarra Shoalhaven LHD, 2008-2009, Females, Illawarra Shoalhaven LHD,53,18.8,15.3,22.8
 Illawarra Shoalhaven LHD, 2008-2009, Females, Rest of NSW,777.8,17,16.2,17.9
 Illawarra Shoalhaven LHD, 2008-2009, Females, Total NSW,830.8,17,16.1,17.8
 Illawarra Shoalhaven LHD, 2008-2009, Persons, Illawarra Shoalhaven LHD,108.6,23.3,20.3,26.7
 Illawarra Shoalhaven LHD, 2008-2009, Persons, Rest of NSW,1575.6,21.1,20.3,21.8
 Illawarra Shoalhaven LHD, 2008-2009, Persons, Total NSW,1684.2,21.2,20.5,21.9
 Illawarra Shoalhaven LHD, 2009-2010, Males, Illawarra Shoalhaven LHD,56.4,26.5,21.8,31.9
 Illawarra Shoalhaven LHD, 2009-2010, Males, Rest of NSW,819.6,24.3,23.2,25.5
 Illawarra Shoalhaven LHD, 2009-2010, Males, Total NSW,876,24.7,23.5,25.9
 Illawarra Shoalhaven LHD, 2009-2010, Females, Illawarra Shoalhaven LHD,53.3,18.3,14.9,22.3
 Illawarra Shoalhaven LHD, 2009-2010, Females, Rest of NSW,766.1,16.4,15.5,17.2
 Illawarra Shoalhaven LHD, 2009-2010, Females, Total NSW,819.4,16.3,15.5,17.2
 Illawarra Shoalhaven LHD, 2009-2010, Persons, Illawarra Shoalhaven LHD,109.7,22.8,19.8,26.1
 Illawarra Shoalhaven LHD, 2009-2010, Persons, Rest of NSW,1585.7,20.7,20,21.4
 Illawarra Shoalhaven LHD, 2009-2010, Persons, Total NSW,1695.4,20.8,20.1,21.5
 Illawarra Shoalhaven LHD, 2010-2011, Males, Illawarra Shoalhaven LHD,57.7,26.5,21.8,31.9
 Illawarra Shoalhaven LHD, 2010-2011, Males, Rest of NSW,826.3,23.8,22.7,25
 Illawarra Shoalhaven LHD, 2010-2011, Males, Total NSW,884,24.2,23,25.3
 Illawarra Shoalhaven LHD, 2010-2011, Females, Illawarra Shoalhaven LHD,50.9,16.8,13.6,20.6
 Illawarra Shoalhaven LHD, 2010-2011, Females, Rest of NSW,773.6,16.1,15.3,17
 Illawarra Shoalhaven LHD, 2010-2011, Females, Total NSW,824.6,16,15.2,16.8
 Illawarra Shoalhaven LHD, 2010-2011, Persons, Illawarra Shoalhaven LHD,108.6,22,19.1,25.2
 Illawarra Shoalhaven LHD, 2010-2011, Persons, Rest of NSW,1599.9,20.3,19.6,21
 Illawarra Shoalhaven LHD, 2010-2011, Persons, Total NSW,1708.6,20.4,19.7,21.1
 Illawarra Shoalhaven LHD, 2011-2012, Males, Illawarra Shoalhaven LHD,59.6,27,22.3,32.5
 Illawarra Shoalhaven LHD, 2011-2012, Males, Rest of NSW,831,23.4,22.3,24.6
 Illawarra Shoalhaven LHD, 2011-2012, Males, Total NSW,890.6,23.8,22.7,24.9
 Illawarra Shoalhaven LHD, 2011-2012, Females, Illawarra Shoalhaven LHD,50.3,16,12.9,19.6
 Illawarra Shoalhaven LHD, 2011-2012, Females, Rest of NSW,773,15.8,15,16.6
 Illawarra Shoalhaven LHD, 2011-2012, Females, Total NSW,823.3,15.6,14.8,16.4
 Illawarra Shoalhaven LHD, 2011-2012, Persons, Illawarra Shoalhaven LHD,109.9,21.7,18.9,24.9
 Illawarra Shoalhaven LHD, 2011-2012, Persons, Rest of NSW,1604,19.9,19.2,20.6
 Illawarra Shoalhaven LHD, 2011-2012, Persons, Total NSW,1713.9,20,19.3,20.6
 Illawarra Shoalhaven LHD, 2012-2013, Males, Illawarra Shoalhaven LHD,58.7,26.1,21.5,31.3
 Illawarra Shoalhaven LHD, 2012-2013, Males, Rest of NSW,848.2,23.4,22.3,24.5
 Illawarra Shoalhaven LHD, 2012-2013, Males, Total NSW,906.9,23.7,22.6,24.8
 Illawarra Shoalhaven LHD, 2012-2013, Females, Illawarra Shoalhaven LHD,49.4,15.5,12.5,19.1
 Illawarra Shoalhaven LHD, 2012-2013, Females, Rest of NSW,746.1,14.9,14.2,15.7
 Illawarra Shoalhaven LHD, 2012-2013, Females, Total NSW,795.5,14.8,14,15.5
 Illawarra Shoalhaven LHD, 2012-2013, Persons, Illawarra Shoalhaven LHD,108.1,21,18.2,24
 Illawarra Shoalhaven LHD, 2012-2013, Persons, Rest of NSW,1594.3,19.3,18.7,20
 Illawarra Shoalhaven LHD, 2012-2013, Persons, Total NSW,1702.4,19.4,18.7,20.1
 Illawarra Shoalhaven LHD, 2013-2014, Males, Illawarra Shoalhaven LHD,58.7,25.8,21.2,31
 Illawarra Shoalhaven LHD, 2013-2014, Males, Rest of NSW,888.1,23.9,22.8,25
 Illawarra Shoalhaven LHD, 2013-2014, Males, Total NSW,946.8,24.1,23,25.2
 Illawarra Shoalhaven LHD, 2013-2014, Females, Illawarra Shoalhaven LHD,54.1,16.6,13.5,20.2
 Illawarra Shoalhaven LHD, 2013-2014, Females, Rest of NSW,743,14.5,13.8,15.3
 Illawarra Shoalhaven LHD, 2013-2014, Females, Total NSW,797.1,14.4,13.7,15.2
 Illawarra Shoalhaven LHD, 2013-2014, Persons, Illawarra Shoalhaven LHD,112.8,21.4,18.6,24.5
 Illawarra Shoalhaven LHD, 2013-2014, Persons, Rest of NSW,1631.1,19.4,18.7,20.1
 Illawarra Shoalhaven LHD, 2013-2014, Persons, Total NSW,1743.9,19.4,18.8,20.1
 Illawarra Shoalhaven LHD, 2014-2015, Males, Illawarra Shoalhaven LHD,65.9,28.5,23.7,34
 Illawarra Shoalhaven LHD, 2014-2015, Males, Rest of NSW,914.1,24.1,23,25.2
 Illawarra Shoalhaven LHD, 2014-2015, Males, Total NSW,980,24.4,23.3,25.5
 Illawarra Shoalhaven LHD, 2014-2015, Females, Illawarra Shoalhaven LHD,56.6,16.8,13.7,20.3
 Illawarra Shoalhaven LHD, 2014-2015, Females, Rest of NSW,752.9,14.5,13.7,15.3
 Illawarra Shoalhaven LHD, 2014-2015, Females, Total NSW,809.5,14.3,13.6,15.1
 Illawarra Shoalhaven LHD, 2014-2015, Persons, Illawarra Shoalhaven LHD,122.5,22.8,20,26
 Illawarra Shoalhaven LHD, 2014-2015, Persons, Rest of NSW,1667,19.4,18.8,20.1
 Illawarra Shoalhaven LHD, 2014-2015, Persons, Total NSW,1789.5,19.5,18.9,20.2
 Illawarra Shoalhaven LHD, 2015-2016, Males, Illawarra Shoalhaven LHD,64.6,27,22.4,32.2
 Illawarra Shoalhaven LHD, 2015-2016, Males, Rest of NSW,930.1,23.9,22.8,25
 Illawarra Shoalhaven LHD, 2015-2016, Males, Total NSW,994.7,24.2,23.1,25.3
 Illawarra Shoalhaven LHD, 2015-2016, Females, Illawarra Shoalhaven LHD,53,15.5,12.6,18.9
 Illawarra Shoalhaven LHD, 2015-2016, Females, Rest of NSW,745.7,14.2,13.4,15
 Illawarra Shoalhaven LHD, 2015-2016, Females, Total NSW,798.7,14,13.2,14.7
 Illawarra Shoalhaven LHD, 2015-2016, Persons, Illawarra Shoalhaven LHD,117.6,21.3,18.6,24.3
 Illawarra Shoalhaven LHD, 2015-2016, Persons, Rest of NSW,1675.8,19.1,18.5,19.8
 Illawarra Shoalhaven LHD, 2015-2016, Persons, Total NSW,1793.4,19.1,18.5,19.8
 Western Sydney LHD, 2001-2002, Males, Western Sydney LHD,76.5,28.6,24,33.8
 Western Sydney LHD, 2001-2002, Males, Rest of NSW,851.1,31.1,29.7,32.7
 Western Sydney LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 Western Sydney LHD, 2001-2002, Females, Western Sydney LHD,75,23.5,19.9,27.6
 Western Sydney LHD, 2001-2002, Females, Rest of NSW,813.1,21.7,20.6,22.7
 Western Sydney LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 Western Sydney LHD, 2001-2002, Persons, Western Sydney LHD,151.5,26.9,23.9,30.1
 Western Sydney LHD, 2001-2002, Persons, Rest of NSW,1664.2,26.9,26,27.8
 Western Sydney LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 Western Sydney LHD, 2002-2003, Males, Western Sydney LHD,74,27.5,23,32.6
 Western Sydney LHD, 2002-2003, Males, Rest of NSW,832.9,30,28.5,31.5
 Western Sydney LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 Western Sydney LHD, 2002-2003, Females, Western Sydney LHD,74,22.7,19.2,26.7
 Western Sydney LHD, 2002-2003, Females, Rest of NSW,835.3,21.7,20.7,22.8
 Western Sydney LHD, 2002-2003, Females, Total NSW,909.2,21.6,20.6,22.6
 Western Sydney LHD, 2002-2003, Persons, Western Sydney LHD,148,25.7,22.8,28.8
 Western Sydney LHD, 2002-2003, Persons, Rest of NSW,1668.2,26.4,25.5,27.3
 Western Sydney LHD, 2002-2003, Persons, Total NSW,1816.2,26.3,25.5,27.2
 Western Sydney LHD, 2003-2004, Males, Western Sydney LHD,70.2,25.6,21.3,30.5
 Western Sydney LHD, 2003-2004, Males, Rest of NSW,794.1,28.2,26.8,29.6
 Western Sydney LHD, 2003-2004, Males, Total NSW,864.3,28.1,26.7,29.4
 Western Sydney LHD, 2003-2004, Females, Western Sydney LHD,74.4,22.2,18.7,26.1
 Western Sydney LHD, 2003-2004, Females, Rest of NSW,820.1,20.9,19.8,21.9
 Western Sydney LHD, 2003-2004, Females, Total NSW,894.6,20.8,19.8,21.8
 Western Sydney LHD, 2003-2004, Persons, Western Sydney LHD,144.6,24.6,21.8,27.6
 Western Sydney LHD, 2003-2004, Persons, Rest of NSW,1614.3,25.1,24.2,26
 Western Sydney LHD, 2003-2004, Persons, Total NSW,1758.9,25,24.2,25.8
 Western Sydney LHD, 2004-2005, Males, Western Sydney LHD,75.5,26.6,22.4,31.5
 Western Sydney LHD, 2004-2005, Males, Rest of NSW,759.9,26.6,25.2,27.9
 Western Sydney LHD, 2004-2005, Males, Total NSW,835.4,26.7,25.4,28
 Western Sydney LHD, 2004-2005, Females, Western Sydney LHD,71.3,20.6,17.3,24.3
 Western Sydney LHD, 2004-2005, Females, Rest of NSW,788.8,19.6,18.7,20.7
 Western Sydney LHD, 2004-2005, Females, Total NSW,860.1,19.5,18.6,20.5
 Western Sydney LHD, 2004-2005, Persons, Western Sydney LHD,146.8,24.2,21.5,27.2
 Western Sydney LHD, 2004-2005, Persons, Rest of NSW,1548.7,23.6,22.8,24.5
 Western Sydney LHD, 2004-2005, Persons, Total NSW,1695.5,23.6,22.8,24.4
 Western Sydney LHD, 2005-2006, Males, Western Sydney LHD,77.4,26.5,22.3,31.2
 Western Sydney LHD, 2005-2006, Males, Rest of NSW,769,26.4,25,27.7
 Western Sydney LHD, 2005-2006, Males, Total NSW,846.4,26.5,25.2,27.8
 Western Sydney LHD, 2005-2006, Females, Western Sydney LHD,66.4,18.6,15.6,22.1
 Western Sydney LHD, 2005-2006, Females, Rest of NSW,774,18.9,17.9,19.9
 Western Sydney LHD, 2005-2006, Females, Total NSW,840.4,18.6,17.7,19.6
 Western Sydney LHD, 2005-2006, Persons, Western Sydney LHD,143.8,23,20.4,25.9
 Western Sydney LHD, 2005-2006, Persons, Rest of NSW,1543,23,22.2,23.9
 Western Sydney LHD, 2005-2006, Persons, Total NSW,1686.8,23,22.2,23.8
 Western Sydney LHD, 2006-2007, Males, Western Sydney LHD,71,24.2,20.2,28.7
 Western Sydney LHD, 2006-2007, Males, Rest of NSW,783.5,26.2,24.9,27.5
 Western Sydney LHD, 2006-2007, Males, Total NSW,854.5,26.1,24.9,27.4
 Western Sydney LHD, 2006-2007, Females, Western Sydney LHD,67,18.2,15.2,21.6
