 Local Health Districts, year, State comparison, Sex, Number," Rate per 100,000 population", LL 95% CI, UL 95% CI
 South Eastern Sydney LHD, 2003-04, Total NSW, Males,"21,257",653.5,644.7,662.4
 South Eastern Sydney LHD, 2003-04, Total NSW, Females,"14,319",395.9,389.4,402.5
 South Eastern Sydney LHD, 2003-04, Total NSW, Persons,"35,576",524.8,519.3,530.3
 South Eastern Sydney LHD, 2004-05, South Eastern Sydney LHD, Males,"2,489",622.1,597.7,647.2
 South Eastern Sydney LHD, 2004-05, South Eastern Sydney LHD, Females,"1,703",389.3,370.7,408.6
 South Eastern Sydney LHD, 2004-05, South Eastern Sydney LHD, Persons,"4,192",505.6,490.3,521.2
 South Eastern Sydney LHD, 2004-05, Rest of NSW, Males,"19,509",677.1,667.6,686.7
 South Eastern Sydney LHD, 2004-05, Rest of NSW, Females,"12,657",393.1,386.2,400.1
 South Eastern Sydney LHD, 2004-05, Rest of NSW, Persons,"32,166",534.9,529.1,540.8
 South Eastern Sydney LHD, 2004-05, Total NSW, Males,"21,997",670.3,661.4,679.2
 South Eastern Sydney LHD, 2004-05, Total NSW, Females,"14,360",392.3,385.9,398.9
 South Eastern Sydney LHD, 2004-05, Total NSW, Persons,"36,358",530.9,525.5,536.4
 South Eastern Sydney LHD, 2005-06, South Eastern Sydney LHD, Males,"2,561",638.9,614.2,664.3
 South Eastern Sydney LHD, 2005-06, South Eastern Sydney LHD, Females,"1,983",455.9,435.7,476.7
 South Eastern Sydney LHD, 2005-06, South Eastern Sydney LHD, Persons,"4,545",546.8,530.9,563.1
 South Eastern Sydney LHD, 2005-06, Rest of NSW, Males,"20,742",712.3,702.6,722.1
 South Eastern Sydney LHD, 2005-06, Rest of NSW, Females,"13,187",406.6,399.6,413.7
 South Eastern Sydney LHD, 2005-06, Rest of NSW, Persons,"33,929",558.9,552.9,564.9
 South Eastern Sydney LHD, 2005-06, Total NSW, Males,"23,303",702.7,693.6,711.8
 South Eastern Sydney LHD, 2005-06, Total NSW, Females,"15,170",412,405.4,418.6
 South Eastern Sydney LHD, 2005-06, Total NSW, Persons,"38,474",556.5,551,562.1
 South Eastern Sydney LHD, 2006-07, South Eastern Sydney LHD, Males,"2,902",711.3,685.5,737.9
 South Eastern Sydney LHD, 2006-07, South Eastern Sydney LHD, Females,"2,401",546.8,524.7,569.5
 South Eastern Sydney LHD, 2006-07, South Eastern Sydney LHD, Persons,"5,302",627.8,610.9,645.1
 South Eastern Sydney LHD, 2006-07, Rest of NSW, Males,"22,038",745.4,735.5,755.3
 South Eastern Sydney LHD, 2006-07, Rest of NSW, Females,"14,149",431.4,424.3,438.7
 South Eastern Sydney LHD, 2006-07, Rest of NSW, Persons,"36,187",587.3,581.3,593.4
 South Eastern Sydney LHD, 2006-07, Total NSW, Males,"24,939",740.5,731.3,749.8
 South Eastern Sydney LHD, 2006-07, Total NSW, Females,"16,550",445.2,438.4,452.1
 South Eastern Sydney LHD, 2006-07, Total NSW, Persons,"41,489",591.6,585.9,597.3
 South Eastern Sydney LHD, 2007-08, South Eastern Sydney LHD, Males,"2,902",695.2,669.9,721.2
 South Eastern Sydney LHD, 2007-08, South Eastern Sydney LHD, Females,"2,413",538.8,517.1,561.1
 South Eastern Sydney LHD, 2007-08, South Eastern Sydney LHD, Persons,"5,316",616.4,599.8,633.4
 South Eastern Sydney LHD, 2007-08, Rest of NSW, Males,"22,305",739.5,729.8,749.4
 South Eastern Sydney LHD, 2007-08, Rest of NSW, Females,"14,738",440.9,433.7,448.2
 South Eastern Sydney LHD, 2007-08, Rest of NSW, Persons,"37,043",589.4,583.3,595.4
 South Eastern Sydney LHD, 2007-08, Total NSW, Males,"25,207",734.1,725,743.2
 South Eastern Sydney LHD, 2007-08, Total NSW, Females,"17,151",452.4,445.5,459.3
 South Eastern Sydney LHD, 2007-08, Total NSW, Persons,"42,358",592.2,586.5,597.9
 South Eastern Sydney LHD, 2008-09, South Eastern Sydney LHD, Males,"2,961",694.1,669.1,719.7
 South Eastern Sydney LHD, 2008-09, South Eastern Sydney LHD, Females,"2,366",526.8,505.4,548.9
 South Eastern Sydney LHD, 2008-09, South Eastern Sydney LHD, Persons,"5,327",610.2,593.7,626.9
 South Eastern Sydney LHD, 2008-09, Rest of NSW, Males,"22,574",733.9,724.3,743.6
 South Eastern Sydney LHD, 2008-09, Rest of NSW, Females,"15,328",451.3,444,458.6
 South Eastern Sydney LHD, 2008-09, Rest of NSW, Persons,"37,902",591.4,585.5,597.5
 South Eastern Sydney LHD, 2008-09, Total NSW, Males,"25,535",729.3,720.3,738.3
 South Eastern Sydney LHD, 2008-09, Total NSW, Females,"17,694",459.8,452.9,466.7
 South Eastern Sydney LHD, 2008-09, Total NSW, Persons,"43,229",593.4,587.8,599
 South Eastern Sydney LHD, 2009-10, South Eastern Sydney LHD, Males,"3,128",723.1,697.8,749.1
 South Eastern Sydney LHD, 2009-10, South Eastern Sydney LHD, Females,"2,433",532.2,510.8,554.1
 South Eastern Sydney LHD, 2009-10, South Eastern Sydney LHD, Persons,"5,561",627.5,610.9,644.3
 South Eastern Sydney LHD, 2009-10, Rest of NSW, Males,"22,501",717.3,707.9,726.8
 South Eastern Sydney LHD, 2009-10, Rest of NSW, Females,"15,522",447.2,440.1,454.4
 South Eastern Sydney LHD, 2009-10, Rest of NSW, Persons,"38,023",581.3,575.4,587.2
 South Eastern Sydney LHD, 2009-10, Total NSW, Males,"25,629",718,709.2,726.9
 South Eastern Sydney LHD, 2009-10, Total NSW, Females,"17,954",456.6,449.8,463.4
 South Eastern Sydney LHD, 2009-10, Total NSW, Persons,"43,583",586.3,580.7,591.8
 South Eastern Sydney LHD, 2010-11, South Eastern Sydney LHD, Males,"2,964",675.5,651.2,700.5
 South Eastern Sydney LHD, 2010-11, South Eastern Sydney LHD, Females,"2,276",482.9,462.8,503.6
 South Eastern Sydney LHD, 2010-11, South Eastern Sydney LHD, Persons,"5,240",578.6,562.9,594.7
 South Eastern Sydney LHD, 2010-11, Rest of NSW, Males,"23,259",726.8,717.4,736.2
 South Eastern Sydney LHD, 2010-11, Rest of NSW, Females,"16,025",452.4,445.3,459.6
 South Eastern Sydney LHD, 2010-11, Rest of NSW, Persons,"39,284",588.3,582.4,594.2
 South Eastern Sydney LHD, 2010-11, Total NSW, Males,"26,223",720.4,711.7,729.3
 South Eastern Sydney LHD, 2010-11, Total NSW, Females,"18,301",456,449.3,462.8
 South Eastern Sydney LHD, 2010-11, Total NSW, Persons,"44,524",586.7,581.2,592.2
 South Eastern Sydney LHD, 2011-12, South Eastern Sydney LHD, Males,"3,104",701.1,676.4,726.4
 South Eastern Sydney LHD, 2011-12, South Eastern Sydney LHD, Females,"2,448",512.2,491.7,533.3
 South Eastern Sydney LHD, 2011-12, South Eastern Sydney LHD, Persons,"5,552",605.7,589.7,622
 South Eastern Sydney LHD, 2011-12, Rest of NSW, Males,"23,871",730.4,721.1,739.8
 South Eastern Sydney LHD, 2011-12, Rest of NSW, Females,"16,332",455,447.9,462.2
 South Eastern Sydney LHD, 2011-12, Rest of NSW, Persons,"40,204",590.9,585.1,596.8
 South Eastern Sydney LHD, 2011-12, Total NSW, Males,"26,976",726.6,717.9,735.4
 South Eastern Sydney LHD, 2011-12, Total NSW, Females,"18,780",462.4,455.7,469.2
 South Eastern Sydney LHD, 2011-12, Total NSW, Persons,"45,756",592.6,587.1,598.1
 South Eastern Sydney LHD, 2012-13, South Eastern Sydney LHD, Males,"3,162",709.5,684.8,734.9
 South Eastern Sydney LHD, 2012-13, South Eastern Sydney LHD, Females,"2,442",511.2,490.7,532.3
 South Eastern Sydney LHD, 2012-13, South Eastern Sydney LHD, Persons,"5,604",609.6,593.5,626
 South Eastern Sydney LHD, 2012-13, Rest of NSW, Males,"24,785",749,739.6,758.5
 South Eastern Sydney LHD, 2012-13, Rest of NSW, Females,"16,616",452.9,445.9,460
 South Eastern Sydney LHD, 2012-13, Rest of NSW, Persons,"41,401",598.4,592.6,604.3
 South Eastern Sydney LHD, 2012-13, Total NSW, Males,"27,947",744.5,735.7,753.3
 South Eastern Sydney LHD, 2012-13, Total NSW, Females,"19,058",459.4,452.8,466.1
 South Eastern Sydney LHD, 2012-13, Total NSW, Persons,"47,005",599.4,593.9,604.9
 South Eastern Sydney LHD, 2013-14, South Eastern Sydney LHD, Males,"3,111",686.2,662.1,711
 South Eastern Sydney LHD, 2013-14, South Eastern Sydney LHD, Females,"2,439",515.7,495,537
 South Eastern Sydney LHD, 2013-14, South Eastern Sydney LHD, Persons,"5,549",600.5,584.6,616.7
 South Eastern Sydney LHD, 2013-14, Rest of NSW, Males,"25,009",744.8,735.5,754.2
 South Eastern Sydney LHD, 2013-14, Rest of NSW, Females,"16,865",456.6,449.6,463.7
 South Eastern Sydney LHD, 2013-14, Rest of NSW, Persons,"41,873",598.1,592.3,604
 South Eastern Sydney LHD, 2013-14, Total NSW, Males,"28,120",738.4,729.8,747.2
 South Eastern Sydney LHD, 2013-14, Total NSW, Females,"19,303",462.3,455.7,469
 South Eastern Sydney LHD, 2013-14, Total NSW, Persons,"47,423",597.7,592.2,603.1
 South Eastern Sydney LHD, 2014-15, South Eastern Sydney LHD, Males,"3,412",741.6,716.7,767.1
 South Eastern Sydney LHD, 2014-15, South Eastern Sydney LHD, Females,"2,395",491,471.1,511.6
 South Eastern Sydney LHD, 2014-15, South Eastern Sydney LHD, Persons,"5,806",615.2,599.2,631.4
 South Eastern Sydney LHD, 2014-15, Rest of NSW, Males,"25,464",746.4,737.2,755.8
 South Eastern Sydney LHD, 2014-15, Rest of NSW, Females,"16,854",449,442.1,456
 South Eastern Sydney LHD, 2014-15, Rest of NSW, Persons,"42,317",594.9,589.1,600.7
 South Eastern Sydney LHD, 2014-15, Total NSW, Males,"28,875",745.7,737.1,754.4
 South Eastern Sydney LHD, 2014-15, Total NSW, Females,"19,248",453.2,446.7,459.8
 South Eastern Sydney LHD, 2014-15, Total NSW, Persons,"48,123",596.5,591.1,601.9
 South Eastern Sydney LHD, 2015-16, South Eastern Sydney LHD, Males,"3,456",735.3,710.8,760.4
 South Eastern Sydney LHD, 2015-16, South Eastern Sydney LHD, Females,"2,379",475.7,456.4,495.6
 South Eastern Sydney LHD, 2015-16, South Eastern Sydney LHD, Persons,"5,834",604.6,589,620.5
 South Eastern Sydney LHD, 2015-16, Rest of NSW, Males,"25,172",726.8,717.7,735.9
 South Eastern Sydney LHD, 2015-16, Rest of NSW, Females,"16,586",435.3,428.5,442.1
 South Eastern Sydney LHD, 2015-16, Rest of NSW, Persons,"41,758",578.8,573.2,584.5
 South Eastern Sydney LHD, 2015-16, Total NSW, Males,"28,628",729.8,721.3,738.4
 South Eastern Sydney LHD, 2015-16, Total NSW, Females,"18,964",440.2,433.8,446.6
 South Eastern Sydney LHD, 2015-16, Total NSW, Persons,"47,593",582.5,577.2,587.8
 South Eastern Sydney LHD, 2016-17, South Eastern Sydney LHD, Males,"3,401",706.6,682.9,731
 South Eastern Sydney LHD, 2016-17, South Eastern Sydney LHD, Females,"2,677",529,508.8,549.8
 South Eastern Sydney LHD, 2016-17, South Eastern Sydney LHD, Persons,"6,078",617.3,601.7,633.2
 South Eastern Sydney LHD, 2016-17, Rest of NSW, Males,"26,821",760.6,751.4,769.8
 South Eastern Sydney LHD, 2016-17, Rest of NSW, Females,"17,283",444.1,437.3,450.9
 South Eastern Sydney LHD, 2016-17, Rest of NSW, Persons,"44,103",600.5,594.8,606.3
 South Eastern Sydney LHD, 2016-17, Total NSW, Males,"30,222",766.2,757.5,775
 South Eastern Sydney LHD, 2016-17, Total NSW, Females,"19,959",459.4,452.9,465.9
 South Eastern Sydney LHD, 2016-17, Total NSW, Persons,"50,182",610.3,604.9,615.7
 Illawarra Shoalhaven LHD, 2001-02, Illawarra Shoalhaven LHD, Males,"1,353",779.6,738.3,822.6
 Illawarra Shoalhaven LHD, 2001-02, Illawarra Shoalhaven LHD, Females,793,397.6,370.1,426.7
 Illawarra Shoalhaven LHD, 2001-02, Illawarra Shoalhaven LHD, Persons,"2,146",592.3,567.3,618.1
 Illawarra Shoalhaven LHD, 2001-02, Rest of NSW, Males,"22,560",746,736.2,755.8
 Illawarra Shoalhaven LHD, 2001-02, Rest of NSW, Females,"13,689",412.8,405.8,419.8
 Illawarra Shoalhaven LHD, 2001-02, Rest of NSW, Persons,"36,250",579.8,573.9,585.9
 Illawarra Shoalhaven LHD, 2001-02, Total NSW, Males,"23,913",747.3,737.9,756.9
 Illawarra Shoalhaven LHD, 2001-02, Total NSW, Females,"14,483",411.8,405.1,418.6
 Illawarra Shoalhaven LHD, 2001-02, Total NSW, Persons,"38,396",580,574.2,585.9
 Illawarra Shoalhaven LHD, 2002-03, Illawarra Shoalhaven LHD, Males,"1,213",685.9,647.5,725.9
 Illawarra Shoalhaven LHD, 2002-03, Illawarra Shoalhaven LHD, Females,721,348.9,323.5,375.7
 Illawarra Shoalhaven LHD, 2002-03, Illawarra Shoalhaven LHD, Persons,"1,934",519.3,496.2,543.2
 Illawarra Shoalhaven LHD, 2002-03, Rest of NSW, Males,"19,756",647.8,638.8,657
 Illawarra Shoalhaven LHD, 2002-03, Rest of NSW, Females,"12,965",384.4,377.8,391.1
 Illawarra Shoalhaven LHD, 2002-03, Rest of NSW, Persons,"32,720",516.2,510.7,521.9
 Illawarra Shoalhaven LHD, 2002-03, Total NSW, Males,"20,969",650.2,641.4,659.1
 Illawarra Shoalhaven LHD, 2002-03, Total NSW, Females,"13,685",382.7,376.3,389.2
 Illawarra Shoalhaven LHD, 2002-03, Total NSW, Persons,"34,654",516.5,511,521.9
 Illawarra Shoalhaven LHD, 2003-04, Illawarra Shoalhaven LHD, Males,"1,235",684.8,646.8,724.5
 Illawarra Shoalhaven LHD, 2003-04, Illawarra Shoalhaven LHD, Females,811,388,361.3,416.2
 Illawarra Shoalhaven LHD, 2003-04, Illawarra Shoalhaven LHD, Persons,"2,045",538.9,515.5,563
 Illawarra Shoalhaven LHD, 2003-04, Rest of NSW, Males,"20,023",651.6,642.6,660.8
 Illawarra Shoalhaven LHD, 2003-04, Rest of NSW, Females,"13,508",396.1,389.4,402.9
 Illawarra Shoalhaven LHD, 2003-04, Rest of NSW, Persons,"33,531",523.9,518.3,529.6
 Illawarra Shoalhaven LHD, 2003-04, Total NSW, Males,"21,257",653.5,644.7,662.4
 Illawarra Shoalhaven LHD, 2003-04, Total NSW, Females,"14,319",395.9,389.4,402.5
 Illawarra Shoalhaven LHD, 2003-04, Total NSW, Persons,"35,576",524.8,519.3,530.3
 Illawarra Shoalhaven LHD, 2004-05, Illawarra Shoalhaven LHD, Males,"1,336",742.4,702.6,783.7
 Illawarra Shoalhaven LHD, 2004-05, Illawarra Shoalhaven LHD, Females,840,401.5,374.3,430.1
 Illawarra Shoalhaven LHD, 2004-05, Illawarra Shoalhaven LHD, Persons,"2,176",573,548.9,597.9
 Illawarra Shoalhaven LHD, 2004-05, Rest of NSW, Males,"20,661",666,657,675.2
 Illawarra Shoalhaven LHD, 2004-05, Rest of NSW, Females,"13,520",391.7,385.1,398.5
 Illawarra Shoalhaven LHD, 2004-05, Rest of NSW, Persons,"34,182",528.6,523,534.3
 Illawarra Shoalhaven LHD, 2004-05, Total NSW, Males,"21,997",670.3,661.4,679.2
 Illawarra Shoalhaven LHD, 2004-05, Total NSW, Females,"14,360",392.3,385.9,398.9
 Illawarra Shoalhaven LHD, 2004-05, Total NSW, Persons,"36,358",530.9,525.5,536.4
 Illawarra Shoalhaven LHD, 2005-06, Illawarra Shoalhaven LHD, Males,"1,339",740.5,700.9,781.8
 Illawarra Shoalhaven LHD, 2005-06, Illawarra Shoalhaven LHD, Females,866,410.9,383.4,439.9
 Illawarra Shoalhaven LHD, 2005-06, Illawarra Shoalhaven LHD, Persons,"2,205",576.7,552.6,601.7
 Illawarra Shoalhaven LHD, 2005-06, Rest of NSW, Males,"21,965",700.4,691.1,709.7
 Illawarra Shoalhaven LHD, 2005-06, Rest of NSW, Females,"14,304",411.9,405.1,418.8
 Illawarra Shoalhaven LHD, 2005-06, Rest of NSW, Persons,"36,269",555.6,549.9,561.3
 Illawarra Shoalhaven LHD, 2005-06, Total NSW, Males,"23,303",702.7,693.6,711.8
 Illawarra Shoalhaven LHD, 2005-06, Total NSW, Females,"15,170",412,405.4,418.6
 Illawarra Shoalhaven LHD, 2005-06, Total NSW, Persons,"38,474",556.5,551,562.1
 Illawarra Shoalhaven LHD, 2006-07, Illawarra Shoalhaven LHD, Males,"1,393",757.9,718.2,799.3
 Illawarra Shoalhaven LHD, 2006-07, Illawarra Shoalhaven LHD, Females,937,442.6,414,472.6
 Illawarra Shoalhaven LHD, 2006-07, Illawarra Shoalhaven LHD, Persons,"2,331",601.1,576.5,626.4
 Illawarra Shoalhaven LHD, 2006-07, Rest of NSW, Males,"23,546",739.1,729.6,748.6
 Illawarra Shoalhaven LHD, 2006-07, Rest of NSW, Females,"15,612",445.3,438.3,452.4
 Illawarra Shoalhaven LHD, 2006-07, Rest of NSW, Persons,"39,158",591.2,585.3,597.1
 Illawarra Shoalhaven LHD, 2006-07, Total NSW, Males,"24,939",740.5,731.3,749.8
 Illawarra Shoalhaven LHD, 2006-07, Total NSW, Females,"16,550",445.2,438.4,452.1
 Illawarra Shoalhaven LHD, 2006-07, Total NSW, Persons,"41,489",591.6,585.9,597.3
 Illawarra Shoalhaven LHD, 2007-08, Illawarra Shoalhaven LHD, Males,"1,350",717.1,678.8,756.9
 Illawarra Shoalhaven LHD, 2007-08, Illawarra Shoalhaven LHD, Females,981,458.9,429.8,489.4
 Illawarra Shoalhaven LHD, 2007-08, Illawarra Shoalhaven LHD, Persons,"2,330",589.4,565.3,614.3
 Illawarra Shoalhaven LHD, 2007-08, Rest of NSW, Males,"23,857",734.5,725.1,743.9
 Illawarra Shoalhaven LHD, 2007-08, Rest of NSW, Females,"16,171",452.1,445,459.2
 Illawarra Shoalhaven LHD, 2007-08, Rest of NSW, Persons,"40,028",592.4,586.6,598.3
 Illawarra Shoalhaven LHD, 2007-08, Total NSW, Males,"25,207",734.1,725,743.2
 Illawarra Shoalhaven LHD, 2007-08, Total NSW, Females,"17,151",452.4,445.5,459.3
 Illawarra Shoalhaven LHD, 2007-08, Total NSW, Persons,"42,358",592.2,586.5,597.9
 Illawarra Shoalhaven LHD, 2008-09, Illawarra Shoalhaven LHD, Males,"1,355",701.1,663.7,740
 Illawarra Shoalhaven LHD, 2008-09, Illawarra Shoalhaven LHD, Females,978,445.8,417.5,475.5
 Illawarra Shoalhaven LHD, 2008-09, Illawarra Shoalhaven LHD, Persons,"2,333",574.1,550.5,598.3
 Illawarra Shoalhaven LHD, 2008-09, Rest of NSW, Males,"24,180",730.3,721.1,739.6
 Illawarra Shoalhaven LHD, 2008-09, Rest of NSW, Females,"16,716",460.4,453.3,467.5
 Illawarra Shoalhaven LHD, 2008-09, Rest of NSW, Persons,"40,896",594.3,588.6,600.2
 Illawarra Shoalhaven LHD, 2008-09, Total NSW, Males,"25,535",729.3,720.3,738.3
 Illawarra Shoalhaven LHD, 2008-09, Total NSW, Females,"17,694",459.8,452.9,466.7
 Illawarra Shoalhaven LHD, 2008-09, Total NSW, Persons,"43,229",593.4,587.8,599
 Illawarra Shoalhaven LHD, 2009-10, Illawarra Shoalhaven LHD, Males,"1,266",640.7,605.3,677.5
 Illawarra Shoalhaven LHD, 2009-10, Illawarra Shoalhaven LHD, Females,981,431.6,404.1,460.4
 Illawarra Shoalhaven LHD, 2009-10, Illawarra Shoalhaven LHD, Persons,"2,247",536.6,514.2,559.8
 Illawarra Shoalhaven LHD, 2009-10, Rest of NSW, Males,"24,363",721.7,712.7,730.9
 Illawarra Shoalhaven LHD, 2009-10, Rest of NSW, Females,"16,974",457.8,450.8,464.8
 Illawarra Shoalhaven LHD, 2009-10, Rest of NSW, Persons,"41,337",588.9,583.2,594.6
 Illawarra Shoalhaven LHD, 2009-10, Total NSW, Males,"25,629",718,709.2,726.9
 Illawarra Shoalhaven LHD, 2009-10, Total NSW, Females,"17,954",456.6,449.8,463.4
 Illawarra Shoalhaven LHD, 2009-10, Total NSW, Persons,"43,583",586.3,580.7,591.8
 Illawarra Shoalhaven LHD, 2010-11, Illawarra Shoalhaven LHD, Males,"1,479",734.7,697,773.9
 Illawarra Shoalhaven LHD, 2010-11, Illawarra Shoalhaven LHD, Females,"1,074",471.2,442.3,501.4
 Illawarra Shoalhaven LHD, 2010-11, Illawarra Shoalhaven LHD, Persons,"2,553",603.3,579.5,627.8
 Illawarra Shoalhaven LHD, 2010-11, Rest of NSW, Males,"24,744",719.1,710.1,728.2
 Illawarra Shoalhaven LHD, 2010-11, Rest of NSW, Females,"17,226",455.2,448.3,462.2
 Illawarra Shoalhaven LHD, 2010-11, Rest of NSW, Persons,"41,971",585.9,580.3,591.6
 Illawarra Shoalhaven LHD, 2010-11, Total NSW, Males,"26,223",720.4,711.7,729.3
 Illawarra Shoalhaven LHD, 2010-11, Total NSW, Females,"18,301",456,449.3,462.8
 Illawarra Shoalhaven LHD, 2010-11, Total NSW, Persons,"44,524",586.7,581.2,592.2
 Illawarra Shoalhaven LHD, 2011-12, Illawarra Shoalhaven LHD, Males,"1,478",729.5,692,768.5
 Illawarra Shoalhaven LHD, 2011-12, Illawarra Shoalhaven LHD, Females,"1,099",477.4,448.4,507.8
 Illawarra Shoalhaven LHD, 2011-12, Illawarra Shoalhaven LHD, Persons,"2,577",603.2,579.4,627.7
 Illawarra Shoalhaven LHD, 2011-12, Rest of NSW, Males,"25,497",726.2,717.2,735.2
 Illawarra Shoalhaven LHD, 2011-12, Rest of NSW, Females,"17,681",461.7,454.8,468.7
 Illawarra Shoalhaven LHD, 2011-12, Rest of NSW, Persons,"43,179",592.2,586.6,597.9
 Illawarra Shoalhaven LHD, 2011-12, Total NSW, Males,"26,976",726.6,717.9,735.4
 Illawarra Shoalhaven LHD, 2011-12, Total NSW, Females,"18,780",462.4,455.7,469.2
 Illawarra Shoalhaven LHD, 2011-12, Total NSW, Persons,"45,756",592.6,587.1,598.1
 Illawarra Shoalhaven LHD, 2012-13, Illawarra Shoalhaven LHD, Males,"1,587",782.9,744,823.4
 Illawarra Shoalhaven LHD, 2012-13, Illawarra Shoalhaven LHD, Females,"1,086",452.8,425.1,481.7
 Illawarra Shoalhaven LHD, 2012-13, Illawarra Shoalhaven LHD, Persons,"2,673",617.5,593.6,642.2
 Illawarra Shoalhaven LHD, 2012-13, Rest of NSW, Males,"26,359",742.5,733.5,751.6
 Illawarra Shoalhaven LHD, 2012-13, Rest of NSW, Females,"17,973",459.6,452.8,466.5
 Illawarra Shoalhaven LHD, 2012-13, Rest of NSW, Persons,"44,332",598.7,593.1,604.3
 Illawarra Shoalhaven LHD, 2012-13, Total NSW, Males,"27,947",744.5,735.7,753.3
 Illawarra Shoalhaven LHD, 2012-13, Total NSW, Females,"19,058",459.4,452.8,466.1
 Illawarra Shoalhaven LHD, 2012-13, Total NSW, Persons,"47,005",599.4,593.9,604.9
 Illawarra Shoalhaven LHD, 2013-14, Illawarra Shoalhaven LHD, Males,"1,367",656.2,621,692.9
 Illawarra Shoalhaven LHD, 2013-14, Illawarra Shoalhaven LHD, Females,"1,056",434.6,407.7,462.9
 Illawarra Shoalhaven LHD, 2013-14, Illawarra Shoalhaven LHD, Persons,"2,424",544.4,522.2,567.3
 Illawarra Shoalhaven LHD, 2013-14, Rest of NSW, Males,"26,752",742.7,733.8,751.7
 Illawarra Shoalhaven LHD, 2013-14, Rest of NSW, Females,"18,247",463.8,456.9,470.7
 Illawarra Shoalhaven LHD, 2013-14, Rest of NSW, Persons,"44,999",600.8,595.2,606.5
 Illawarra Shoalhaven LHD, 2013-14, Total NSW, Males,"28,120",738.4,729.8,747.2
 Illawarra Shoalhaven LHD, 2013-14, Total NSW, Females,"19,303",462.3,455.7,469
 Illawarra Shoalhaven LHD, 2013-14, Total NSW, Persons,"47,423",597.7,592.2,603.1
 Illawarra Shoalhaven LHD, 2014-15, Illawarra Shoalhaven LHD, Males,"1,373",650.1,615.2,686.4
 Illawarra Shoalhaven LHD, 2014-15, Illawarra Shoalhaven LHD, Females,923,375.3,350.3,401.6
 Illawarra Shoalhaven LHD, 2014-15, Illawarra Shoalhaven LHD, Persons,"2,296",511.3,489.8,533.5
 Illawarra Shoalhaven LHD, 2014-15, Rest of NSW, Males,"27,502",750.7,741.8,759.7
 Illawarra Shoalhaven LHD, 2014-15, Rest of NSW, Females,"18,326",457.7,451,464.5
 Illawarra Shoalhaven LHD, 2014-15, Rest of NSW, Persons,"45,827",601.5,596,607.1
 Illawarra Shoalhaven LHD, 2014-15, Total NSW, Males,"28,875",745.7,737.1,754.4
 Illawarra Shoalhaven LHD, 2014-15, Total NSW, Females,"19,248",453.2,446.7,459.8
 Illawarra Shoalhaven LHD, 2014-15, Total NSW, Persons,"48,123",596.5,591.1,601.9
 Illawarra Shoalhaven LHD, 2015-16, Illawarra Shoalhaven LHD, Males,"1,332",617.9,584.2,653.1
 Illawarra Shoalhaven LHD, 2015-16, Illawarra Shoalhaven LHD, Females,857,340,316.4,364.9
 Illawarra Shoalhaven LHD, 2015-16, Illawarra Shoalhaven LHD, Persons,"2,189",477.5,456.9,498.8
 Illawarra Shoalhaven LHD, 2015-16, Rest of NSW, Males,"27,296",733.2,724.4,742
 Illawarra Shoalhaven LHD, 2015-16, Rest of NSW, Females,"18,107",445.3,438.7,451.9
 Illawarra Shoalhaven LHD, 2015-16, Rest of NSW, Persons,"45,404",587.1,581.7,592.6
 Illawarra Shoalhaven LHD, 2015-16, Total NSW, Males,"28,628",729.8,721.3,738.4
 Illawarra Shoalhaven LHD, 2015-16, Total NSW, Females,"18,964",440.2,433.8,446.6
 Illawarra Shoalhaven LHD, 2015-16, Total NSW, Persons,"47,593",582.5,577.2,587.8
 Illawarra Shoalhaven LHD, 2016-17, Illawarra Shoalhaven LHD, Males,"1,359",624.9,590.9,660.2
 Illawarra Shoalhaven LHD, 2016-17, Illawarra Shoalhaven LHD, Females,923,367.6,342.9,393.5
 Illawarra Shoalhaven LHD, 2016-17, Illawarra Shoalhaven LHD, Persons,"2,283",495,474,516.7
 Illawarra Shoalhaven LHD, 2016-17, Rest of NSW, Males,"28,863",759.9,751.1,768.8
 Illawarra Shoalhaven LHD, 2016-17, Rest of NSW, Females,"19,036",458.3,451.7,465
 Illawarra Shoalhaven LHD, 2016-17, Rest of NSW, Persons,"47,899",607.5,602,613.1
 Illawarra Shoalhaven LHD, 2016-17, Total NSW, Males,"30,222",766.2,757.5,775
 Illawarra Shoalhaven LHD, 2016-17, Total NSW, Females,"19,959",459.4,452.9,465.9
 Illawarra Shoalhaven LHD, 2016-17, Total NSW, Persons,"50,182",610.3,604.9,615.7
 Western Sydney LHD, 2001-02, Western Sydney LHD, Males,"2,439",732.7,703,763.3
 Western Sydney LHD, 2001-02, Western Sydney LHD, Females,"1,398",420.5,398.7,443.3
 Western Sydney LHD, 2001-02, Western Sydney LHD, Persons,"3,838",577.5,559.1,596.2
 Western Sydney LHD, 2001-02, Rest of NSW, Males,"21,474",749.5,739.5,759.6
 Western Sydney LHD, 2001-02, Rest of NSW, Females,"13,084",411.6,404.5,418.8
 Western Sydney LHD, 2001-02, Rest of NSW, Persons,"34,558",581.1,575,587.3
 Western Sydney LHD, 2001-02, Total NSW, Males,"23,913",747.3,737.9,756.9
 Western Sydney LHD, 2001-02, Total NSW, Females,"14,483",411.8,405.1,418.6
 Western Sydney LHD, 2001-02, Total NSW, Persons,"38,396",580,574.2,585.9
 Western Sydney LHD, 2002-03, Western Sydney LHD, Males,"2,047",625.6,597.9,654.2
 Western Sydney LHD, 2002-03, Western Sydney LHD, Females,"1,270",375.5,355,396.9
